Season,No. of Episode (Season),No. of Episode (Overall),Title of the Episode,U.S. Viewers (Millions),IMDb Rating,Rotten Tomatoes Rating,Metacritic Ratings,Novel(s) Adapted,Average Rating
7,3,63,The Queen's Justice,9.25,9.1,9.0,6.3,Outline from A Dream of Spring and original content,8.133333333333333
7,4,64,The Spoils of War,10.17,9.7,9.7,6.6,Outline from A Dream of Spring and original content,8.666666666666666
7,5,65,Eastwatch,10.72,8.7,9.5,5.3,Outline from A Dream of Spring and original content,7.833333333333333
7,6,66,Beyond the Wall,10.24,9.0,8.4,4.9,Outline from A Dream of Spring and original content,7.433333333333334
7,7,67,The Dragon and the Wolf,12.07,9.4,8.8,6.0,Outline from A Dream of Spring and original content,8.066666666666668
8,1,68,Winterfell,11.76,7.6,9.2,5.5,Outline from A Dream of Spring and original content,7.433333333333333
8,2,69,A Knight of the Seven Kingdoms,10.29,7.9,8.7,5.9,Outline from A Dream of Spring and original content,7.5
8,3,70,The Long Night,12.02,7.5,7.4,4.2,Outline from A Dream of Spring and original content,6.366666666666667
8,4,71,The Last of the Starks,11.8,5.5,5.8,2.9,Outline from A Dream of Spring and original content,4.733333333333333
8,5,72,The Bells,12.48,6.0,4.9,3.4,Outline from A Dream of Spring and original content,4.766666666666667
8,6,73,The Iron Throne,13.61,4.0,4.7,2.6,Outline from A Dream of Spring and original content,3.766666666666667
